product,dwb_asset_category,dwb_asset_type,dwb_unit,lr_rule,fee_parameter,Search Terms
Exhaust Valve Housing,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,,Section 10.9,fuel injection valve
Expansion Joint,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Expansion Seal for LNG Fuel Tank Dome,Expansion Seal,Machinery Equipment,batch,CLASS MACH Part 5,q'ty,expansion joint bellows
Expansion Seal for LPG Cargo Tank Dome,Expansion Seal,Machinery Equipment,batch,CLASS MACH Part 5,q'ty,expansion joint bellows
Expansion tank,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
Expansion Vessel,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
F.O hose Handling Davit,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
F.O Piping,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
F.O. PRE-HEATER FOR M/E & G/E,Heat Exchanger Shell Type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
F.W Hydrophore Tank,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
F.W. Hyd. Tank,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Fabricated Pipe Spool,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
Fabricated Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fabricated Pipes,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fabricated Steel Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fairlead Shackle,"Mooring fittings (bollards, fairleads, roller chocks, hawsers)",Outfitting Equipment & Component,batch,,hour,mooring towing arrangements
Feed Air Compressor for N2 Generator,Screw compressors,Machinery Equipment,pcs,CLASS MACH Part 5,capacity(m3/hr),screw compressor
Feed Water Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Feul Oil Piping,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
FGS Room Davit,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
FGSS CATCH & PURGE TANK,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Fibre Rope for Mooring(& fibre rope 의 용도가 불문명 할 경우),Mooring Rope,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,Q'ty,mooring ropes
Fibre Rope for Towing(LA5),Fibre Rope (LA5),Lifting Appliances,batch,CLASS HULL Parts 2 & 3,Q'ty,fibre ropes
Filter,Strainer,Machinery Equipment,batch,,Section 10.9,filters strainers
Filter for Gas Regulating Unit,Strainer,Machinery Equipment,batch,,Section 10.9,filters strainers
Filter Separator,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
FIXED GAS DETECTION SYSTEM,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Fixed Local Application Fire-Fighting System,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Flame arrester (3rd party),Statement of work,Other Services,pcs,hour,hour,
Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Flange,Steel forging as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Flange Coupling,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
"FLANGE FOR GAS VALVE TRAIN, fitting","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
FLANGE FOR HCUS BLOCK,"Hydraulic  Block or Cylinder, Bar Profiles",Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Flange for PIV,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,,,Section 12.7,pipe fittings
Flange RF SO,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Flange Screw,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Flange Shaft,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
"Flange, Boss, Tubesheet","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
"Flange, Fitting","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
FLEXABLE RUBBER HOSE ASSEMBLY,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
FLEXIBLE HOSE / RUBBER COMPENSATOR,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Flexible Hose Assembly,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
FLOW LIMITING VALVE,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Forged Carbon Steel,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Duplex Stainless Steel,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Forged forged Flange (Finished Condition),"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 12.7,pipe fittings
Forged Pintle Nut,Steel forgings as forged,Materials,kg or ton,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Ring,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Square Bar for Flange,Bar Profiles,Materials,kg,CLASS MACH Part 5,Section 4.3 or Section 4.5,rolled steel bars sections
Forged Stainless & Carbon Steel for Flanges,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Stainless Steel,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged Steel,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forged steel for Flange,Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
Forging Flange,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forging for Flange,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Forging Ring,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
FORGING ROUND BAR,BAR PROFILES,Materials,kg,,Section 4.3 or Section 4.5,rolled steel bars sections
FPP PROPELLER,FPP Propeller,Engine & Propulsion Components,pcs,CLASS MACH Part 5,ton,propeller design
Frame Box,Frame Box,Engine & Propulsion Components,,,,Frame Box
Fuel & Starting air pipe,Pipng,Machinery Equipment,batch,,Section 10.10,piping system design pressure
Fuel HP Pump VFD Starter Panel,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Fuel Oil High Pressure Pipe for Engine,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fuel oil HP Block ass'y,Hydraulic  Block or Cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Fuel Oil Injection Pipe for Aux. Diesel Engine,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fuel Oil Pipe for Engine,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Fuel Valve Train,Machinery and piping system,Machinery Equipment,pcs,,Time base,machinery piping systems
Fully Balanced HHP Steel Anchor(Fabricated Anchor),Anchor (Fabricated),Hull Equipment,kg or ton,CLASS HULL Parts 2 & 3,Section 8.1,anchors equipment number
FWD switchboard,Main switchboard,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.6,main switchboard busbar
G.W COOLER / heater,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 6,Section 12.4,plate heat exchanger
G/E F.O SUPPLY UNIT,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
GAS CHAIN PIPE / Gas Distributor Pipe / Gas Fuel Pipe,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
Gas Control Block,Injection Control Unit for  Engine,Engine & Propulsion Components,batch,,,fuel injection control
Gas Cooler,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
GAS CROSSING ASSEMBLY FOR TRUNK DK,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
GAS Crossing pipe,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
"GAS DETECTION SYSTEM, GAS SAMPLING SYSTEM, GDCAB",ELECTRICAL CONSOLE/PANEL,ELECTRICAL EQUIPMENT & COMPONENT,pcs,,Section 5.7,switchboard
GAS DOME,Gas dome with Covers,LNG/CCS Components,pcs,,Time base,cargo tank dome
Gas Monitoring Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
GAS REGULATING UNIT,Gas valve units and gas regulation units,Machinery Equipment,batch,CLASS MACH Part 5,Time base,gas valve unit
Gas Sampling and Detection System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
GAS VALVE TRAIN,Machinery and piping system,Machinery Equipment,pcs,,Time base,machinery piping systems
Gas Valve Unit,Gas valve units and gas regulation units,Machinery Equipment,batch,CLASS MACH Part 5,Time base,gas valve unit
Gas Venting valve for D.W piping system,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Gate Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
GE LSMGO Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
GEAR PUMP(L.O. TRANSFER / L.O. DRAIN / F.O. TRANSFER ),"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Gear Wheel Drive Shaft for M/E,gear wheels,Engine & Propulsion Components,batch,,Section 10.9,gear wheels
GENERAL SERVICE TANK,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
General Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Globe Check Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Globe Valve & Steam Trap,Valves,Machinery Equipment,batch,CLASS MACH Part 6,Section 10.5,valves fittings piping
Globe/Angle Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Glycol Water Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 6,Section 12.4,heat exchangers
Glycol Water Heater (ELEC & STEAM TYPE),Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Group starter panel and individual starter panel,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Guide Flange(Intermediate Flange) for M/E,Guide Flange(Intermediate Flange) for Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,engine structural components
"H.H.P Anchor Head, Shank and Shackle",Steel castings as final machined,Materials,Kg,,Section 4.2,steel castings mechanical tests
Hardware for Alarm Monitoring system,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
Hardware for IAS,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
"HBB Body, Cover",Hydraulic  Block or Cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
HD(LD) Compressor,Cryogenic equipment unit,Cryogenic Other,pcs,CLASS RMC Part 6,Section 13.1,low temperature service materials
HD(LD) Compressor skid(Package),Machinery and Piping System,Machinery Equipment,pcs,CLASS RMC Part 6,Time base,machinery piping systems
Head-Fuel Injection Valve,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,fuel injection valve
Header,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Heating coil,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
HEATING COIL FOR AIR CLR. CHEM. CLEAN W TANK,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Heating Coil for Air Cooler Chemical Clean Water Tank,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
heating coil for L.S.F.O. SERV. TANK,piping,Machinery Equipment,batch,q'ty,Section 10.10,piping system design pressure
Heating coil for SLOP tank,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Heating Coil Unit,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Heli Safety Net,Statement of work,Other Services,batch,,hour,
HFO & LFO Purifier Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
High Expansion Foam SYS Main Control Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
High Extension Foam TANK Main Control Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
High Holding Power Anchor,Anchor (Cast Steel),Hull Equipment,kg or ton,CLASS HULL Parts 2 & 3,Section 8.1,anchors equipment number
High Pressure Gas Cylinder,High Pressure Gas Cylinder(CO2 Cylinder),pressure vessels,batch,,q'ty,gas cylinder pressure
High Pressure Pipe for Deck Machinery,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
HIGH PRESSURE PUMP SKID,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
High Pressure Pump Skid (HiVAR),Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
High Pressure Pump Skid for LNG Fuel Gas,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
HIGH SEA CHEST GRID,Statement of work,Other Services,batch,,hour,
High Velocity P/V Relief Valve,Valves,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 10.5,valves fittings piping
High Velocity Press./Vacuum relief valve,Valves,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 10.5,valves fittings piping
Hoisting Winch (PORT & STBD),Winches,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,q'ty,mooring winch
Hook Block Ass'y for Engine Roome Crane,Loose Gear,Lifting Appliances,batch,Lifting Appliances,Section 9.6,lifting appliances loose gear
Hook Block Assembly for Bosun Store Davit,Loose Gear,Lifting Appliances,batch,,Section 9.6,lifting appliances loose gear
Horizontal Screw Pump(Jet A-1 Fuel Transfer / Jet A-1 Fuel Service / Jet A-1 Fuel Stripping ),"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Hose Handling Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Hose Handling Crane P/S,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
housing,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,fuel injection valve
Housing (B) MBD,Hydraulic  Block or Cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Housing and Head for SAFE GAS ADMISSION VALVE,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,fuel injection valve
Housing-Gas Injection Valve,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,fuel injection valve
HP Compressor,Reciprocating compressors,Machinery Equipment,pcs,,capacity(m3/hr),air compressor pressure
HP Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
HUB/CORNER/BULB CASTING & CARRIER HOUSING,Steel Casting as rough machined,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Hull Appurter Cover,Closing Appliances (Doors),Outfitting Equipment & Component,batch,,Section 11.6,watertight doors closing
Hyd. Actuator,Actuator for valve,Machinery Equipment,batch,,Valve Dia (mm),valve actuator remote
HYd. Cyl for pilot door(H/cover),Hydraulic block or cylinder (Lifting Appliances),Lifting Appliances,batch,Lifting Appliances,Liter,hydraulic system components
Hyd. Luffing Cylinder,Hydraulic block or cylinder (Lifting Appliances),Lifting Appliances,batch,Lifting Appliances,Liter,hydraulic system components
Hyd. power pack,Valve Remote Control System,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,m2,valve remote control system
Hyd. Power Unit,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 5,m2,valve remote control system
Hydraulic Actuator,Actuator for valve,Machinery Equipment,batch,CLASS MACH Part 5,Valve Dia (mm),valve actuator remote
Hydraulic Pipe for Engine,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Hydraulic Power Unit,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 5,m2,valve remote control system
Hydraulic Pump for Steering Gear,Displacement Pump,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
HYDRAULIC SAFETY BLOCK FOR ENGINE,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
HYDRAULIC SAFETY BLOCK for M/E,Hydraulic block or cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Hydro Cylinder (HYD'CYL'),Hydraulic block or cylinder (Lifting Appliances),Lifting Appliances,batch,Lifting Appliances,Liter,hydraulic system components
Hydro Cylinder for Crane,Hydraulic block or cylinder (Lifting Appliances),Lifting Appliances,batch,Lifting Appliances,Liter,hydraulic system components
IAS(K-Chief 700) with ESD H.W FAT,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,q'ty,Section 5.7,control alarm monitoring systems
ICER Heat Exchanger,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
INCINERATOR WASTE OIL TANK WITH HEATING COIL,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
"Injection Control Unit(MEASURING BLOCK, FUEL VALVE BLOCK, PRE CONTROL BLOCK) for M/E",Injection Control Unit for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,q'ty,fuel injection control
Injector body,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,batch,,Section 10.9,fuel injection valve
Insulation panel,Insulation panel,LNG/CCS Components,Batch,,,Insulation panel
Integrated Control & Monitoring System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
"Inter Cooler, After Cooler for Air Compressor","Heat Exchanger(Shell, plate)",Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Intermedia Piece (MBD),Guide Flange(Intermediate Flange) for Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,engine structural components
Intermediate Shaft,Intermediate Shaft,Engine & Propulsion Components,pcs,CLASS MACH Part 5,kg,Intermediate Shaft
Intermediate Shaft,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Intermediate Shaft,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Intermediate Wheel,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
K-Chief 600 for Alarm Monitoring System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Knock Out Drum for LPG Fuel Safety & Oil Mist Separator,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
KNOCK-OUT DRUM LPG COLLECTING TANK,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Kort Nozzle,Machinery fabricated structure (casing),Machinery Equipment,batch,,Section 12.7,welded construction fabrication
KSB Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
L.O pump,Displacement Pump,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
LFS EMERGENCY SHUT DOWN SYSTEM,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
LGI Adapter Block,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,,,Section 10.9,fuel injection valve
LGI Fuel Block ,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,,,Section 10.9,fuel injection valve
LGI Purge Control Block,Fuel Injection valve Housing  for  Engine,Engine & Propulsion Components,,,Section 10.9,fuel injection valve
LNG Cargo components for Repair,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
LNG Full Reliquefaction System,Reliquefaction system,Refrigeration Equipment & Components,Batch,,hour,Reliquefaction system
LNG Gas Pocket Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
LNG Manifold Shore Piece Assy,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
LNG QCDC Piece,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
LNG QCDC Short Distance Piece,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
"LNG VAPORIZER, FORCING VAPORIZER , WU HEATER , MIST SEPARATOR, BOG HEATER",Heat Exchanger Shell Type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
"Loading Ring , Nut body",Steel forgings as forged,Materials,kg or ton,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Local Control Cabinet(Sol' Valve Box on deck),"Control, alarm and monitoring",Electrical Equipment & Component,batch,CLASS MACH Part 9,Section 5.7,control alarm monitoring systems
Local Group Starter Panel,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Local Group Starter Panel for Em'cy Fire Pump,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Local Operating Panel for M/E Remote Control System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Local Water Mist Fire Extinguishing System for Fire Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Loose Gear(LA3),Loose Gear,Lifting Appliances,batch,,Section 9.6,lifting appliances loose gear
Low Pressure CO2 Tank,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
LOWER BEARING HALF,Bearing Caps,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bearings lubrication
LP Forcing Vaporizer & Pre-Heater Skid,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
LPG KNOCK OUT DRUM,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Lub Oil Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Lub. oil tank (LO supply for compressor),Tank,Machinery Equipment,pcs,"CLASS MACH Part 5
CLASS HULL Parts 2 & 3",Section 10.11,tank structural test
Lubracant Oil Piping,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
LUG & Plate,Rolled steel,Materials,kg,Ton,Section 4.5,rolled steel plates sections
LV Main switchboard & Group Starter Panel,Main switchboard,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.6,main switchboard busbar
LV MID Ship Main Distribution board,Main switchboard,Electrical Equipment & Component,pcs,,Section 5.6,main switchboard busbar
M/E  Air Cooler Cooling F.W Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
M/E & G/E F.O Steam Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E & G/E L.O Purifier Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E & G/E V.L.S.F.O Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E Buffer Tank,Unfired Pressure Vessel,Pressure Vessels,pcs,,Section 12.6,pressure vessels
M/E F.O SUPPLY UNIT,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
"M/E G/E F.O HEATER, M/E JACKET PRE-HEATER, AUX. PRE-HEATER",Heat exchanger shell type,Pressure Vessels,pcs,,Section 12.4,heat exchangers
M/E Jacket Cooling F.W Preheater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E Jacket Cooling F.W. Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
M/E Jacket F.W Preheater (PORT/STBD),Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E Jacket water cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
M/E Jacket Water Preheater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
M/E L.O cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
M/E Lubricating Oil Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
M/E Stern Tube L.O Cooler,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Mach. Feed Water Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Mach. Feed Water Tank,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
